epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.811,0.27908,0.18182,0.78243,0.99854,0.99798,0.995,0.96704,0.23178,0.1733,0.76636,0.000277324,0.000277324,0.000277324
2,185.534,0.2699,0.18273,0.77941,0.99853,0.99773,0.99499,0.96978,0.23041,0.17191,0.76578,0.000518361,0.000518361,0.000518361
3,267.71,0.26791,0.1821,0.77966,0.99854,0.99763,0.99499,0.96524,0.23706,0.1635,0.76721,0.000722746,0.000722746,0.000722746
4,351.141,0.25991,0.1772,0.78106,0.99866,0.99764,0.99499,0.9745,0.20356,0.15323,0.76348,0.000668066,0.000668066,0.000668066
5,431.849,0.25793,0.17417,0.77821,0.99881,0.99775,0.995,0.9598,0.26079,0.16416,0.76699,0.000613088,0.000613088,0.000613088
6,513.857,0.24883,0.1672,0.77641,0.99915,0.99773,0.99499,0.97242,0.19374,0.14769,0.76145,0.00055811,0.00055811,0.00055811
7,594.565,0.24816,0.16784,0.77662,0.99867,0.99773,0.99499,0.97464,0.21674,0.15068,0.76513,0.000503132,0.000503132,0.000503132
8,679.896,0.23819,0.16442,0.7781,0.99899,0.99778,0.995,0.96201,0.26277,0.16332,0.77011,0.000448154,0.000448154,0.000448154
9,760.612,0.23859,0.16285,0.77489,0.99838,0.99777,0.995,0.96614,0.23991,0.15454,0.76758,0.000393176,0.000393176,0.000393176
10,843.007,0.23395,0.1594,0.77554,0.99835,0.99773,0.99499,0.96136,0.23227,0.15048,0.76565,0.000338198,0.000338198,0.000338198
11,923.529,0.22211,0.15336,0.77195,0.99853,0.99773,0.99499,0.96916,0.21465,0.14558,0.76243,0.00028322,0.00028322,0.00028322
12,1004.91,0.2112,0.14664,0.76701,0.99889,0.99786,0.995,0.97067,0.2234,0.14532,0.76357,0.000228242,0.000228242,0.000228242
13,1084.6,0.20851,0.14323,0.76668,0.99874,0.99778,0.995,0.97593,0.19975,0.13612,0.76136,0.000173264,0.000173264,0.000173264
14,1165.44,0.20643,0.14169,0.76551,0.99878,0.99773,0.99499,0.96806,0.2175,0.14098,0.76315,0.000118286,0.000118286,0.000118286
15,1244.3,0.19915,0.13865,0.76409,0.9987,0.99777,0.995,0.97397,0.18434,0.13056,0.761,6.3308e-05,6.3308e-05,6.3308e-05
