epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.548,0.20209,0.14612,0.76647,0.9991,0.99773,0.99497,0.9753,0.2258,0.15732,0.76782,0.000277324,0.000277324,0.000277324
2,203.559,0.21158,0.15353,0.76794,0.99909,0.99782,0.995,0.98043,0.18045,0.14017,0.76212,0.000533013,0.000533013,0.000533013
3,304.207,0.20181,0.15001,0.76564,0.99828,0.99773,0.99499,0.97837,0.17531,0.13722,0.76003,0.000766711,0.000766711,0.000766711
4,404.119,0.20219,0.14744,0.76687,0.99823,0.99773,0.99499,0.97506,0.21144,0.14494,0.76202,0.00073404,0.00073404,0.00073404
5,502.891,0.19814,0.14668,0.76447,0.99882,0.99773,0.99496,0.97235,0.22995,0.15015,0.76461,0.000701053,0.000701053,0.000701053
6,601.824,0.18645,0.13997,0.7642,0.99887,0.99773,0.99496,0.97496,0.18967,0.13623,0.76052,0.000668066,0.000668066,0.000668066
7,699.688,0.18154,0.13787,0.76406,0.99853,0.99773,0.99498,0.97626,0.20628,0.14077,0.7625,0.000635079,0.000635079,0.000635079
8,800.38,0.18335,0.13749,0.76294,0.99878,0.99776,0.995,0.97798,0.18326,0.13169,0.76034,0.000602092,0.000602092,0.000602092
9,900.37,0.17878,0.13594,0.76304,0.99855,0.99773,0.99499,0.97871,0.18614,0.13426,0.76004,0.000569106,0.000569106,0.000569106
10,999.402,0.18076,0.13877,0.76429,0.99861,0.99774,0.995,0.97649,0.20661,0.13885,0.76152,0.000536119,0.000536119,0.000536119
11,1098.32,0.17626,0.13463,0.7626,0.99876,0.9978,0.995,0.97867,0.18802,0.13236,0.76028,0.000503132,0.000503132,0.000503132
12,1197.78,0.16792,0.12898,0.76257,0.99889,0.99773,0.99499,0.9807,0.15847,0.12094,0.75886,0.000470145,0.000470145,0.000470145
13,1301.66,0.16215,0.12671,0.76219,0.99887,0.99773,0.99499,0.97998,0.17262,0.12649,0.75996,0.000437158,0.000437158,0.000437158
14,1408.53,0.16095,0.12685,0.76216,0.99925,0.99773,0.99499,0.98164,0.16206,0.12228,0.75901,0.000404172,0.000404172,0.000404172
15,1512.89,0.15902,0.12519,0.76202,0.99883,0.9978,0.995,0.98145,0.15182,0.11946,0.75789,0.000371185,0.000371185,0.000371185
16,1612.04,0.15569,0.12284,0.7612,0.9987,0.99773,0.99497,0.98178,0.14902,0.11712,0.75816,0.000338198,0.000338198,0.000338198
17,1713.05,0.15581,0.12166,0.76128,0.99865,0.99783,0.995,0.98281,0.14609,0.11425,0.75763,0.000305211,0.000305211,0.000305211
18,1814.72,0.14954,0.11837,0.76114,0.99893,0.99773,0.99498,0.98089,0.15539,0.11728,0.75893,0.000272224,0.000272224,0.000272224
19,1917.79,0.15264,0.11927,0.75995,0.9986,0.9978,0.995,0.9803,0.16029,0.11681,0.75876,0.000239238,0.000239238,0.000239238
20,2017.93,0.14672,0.11458,0.76093,0.99897,0.99784,0.995,0.97999,0.15659,0.11482,0.75732,0.000206251,0.000206251,0.000206251
21,2116.7,0.14194,0.1116,0.75845,0.99881,0.99782,0.995,0.98069,0.15814,0.1149,0.7572,0.000173264,0.000173264,0.000173264
22,2217.03,0.13882,0.10965,0.75901,0.99879,0.99773,0.99499,0.9817,0.14335,0.10855,0.75682,0.000140277,0.000140277,0.000140277
23,2316.97,0.13579,0.10703,0.75691,0.99867,0.99773,0.99499,0.9829,0.14027,0.10645,0.75718,0.00010729,0.00010729,0.00010729
24,2417.42,0.13382,0.1053,0.75777,0.9986,0.99773,0.99499,0.98279,0.13699,0.10352,0.75701,7.43036e-05,7.43036e-05,7.43036e-05
25,2517.12,0.13204,0.1038,0.75689,0.99882,0.99783,0.995,0.98266,0.1383,0.10375,0.75704,4.13168e-05,4.13168e-05,4.13168e-05
