epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.323,0.47247,0.39199,0.86144,0.99866,0.99372,0.99469,0.94874,0.2469,0.21488,0.7664,0.000277299,0.000277299,0.000277299
2,183.585,0.4075,0.31685,0.83149,0.99873,0.99413,0.99458,0.94546,0.25444,0.23651,0.76645,0.000552996,0.000552996,0.000552996
3,267.967,0.38987,0.31332,0.83173,0.99826,0.99557,0.99478,0.94282,0.25701,0.22717,0.77029,0.000820861,0.000820861,0.000820861
4,349.711,0.38203,0.30035,0.82296,0.99826,0.99579,0.99483,0.94299,0.24323,0.22196,0.7673,0.000806677,0.000806677,0.000806677
5,432.403,0.36849,0.29125,0.82147,0.99807,0.99557,0.99466,0.94564,0.25891,0.22175,0.76785,0.000786634,0.000786634,0.000786634
6,513.46,0.35182,0.27818,0.81921,0.99802,0.99728,0.99481,0.95356,0.22553,0.20739,0.76602,0.00076141,0.00076141,0.00076141
7,594.784,0.34872,0.27821,0.81913,0.99838,0.99609,0.9948,0.95229,0.24375,0.2112,0.76782,0.000731404,0.000731404,0.000731404
8,675.967,0.34037,0.26778,0.81308,0.99818,0.99469,0.99427,0.9563,0.21627,0.19647,0.76428,0.000697088,0.000697088,0.000697088
9,755.533,0.32991,0.26198,0.8107,0.9977,0.99584,0.99439,0.95322,0.2266,0.2014,0.76498,0.000659005,0.000659005,0.000659005
10,836.025,0.32345,0.25315,0.81412,0.99821,0.99646,0.99473,0.95077,0.23118,0.19615,0.76653,0.000617753,0.000617753,0.000617753
11,919.006,0.31668,0.25271,0.81071,0.99763,0.99583,0.99484,0.95893,0.21364,0.19193,0.76101,0.000573985,0.000573985,0.000573985
12,1000.45,0.31323,0.24791,0.81004,0.99751,0.99823,0.99484,0.95876,0.21385,0.18606,0.76566,0.00052839,0.00052839,0.00052839
13,1083.2,0.31176,0.24422,0.80934,0.99887,0.99507,0.99479,0.96027,0.20661,0.1845,0.7622,0.000481687,0.000481687,0.000481687
14,1164.17,0.30903,0.24016,0.80897,0.99781,0.99697,0.99482,0.96164,0.21181,0.18588,0.76448,0.000434613,0.000434613,0.000434613
15,1246.93,0.31419,0.24336,0.81703,0.99813,0.99758,0.99477,0.95948,0.20824,0.18376,0.76178,0.00038791,0.00038791,0.00038791
16,1330.44,0.30162,0.23871,0.80927,0.99829,0.99766,0.99479,0.9615,0.20228,0.17679,0.76234,0.000342315,0.000342315,0.000342315
17,1411.08,0.30659,0.23827,0.81143,0.99752,0.99651,0.99437,0.95991,0.20096,0.17679,0.7614,0.000298547,0.000298547,0.000298547
18,1490.23,0.32272,0.23515,0.81295,0.99751,0.99745,0.99479,0.95803,0.20596,0.17633,0.76165,0.000257295,0.000257295,0.000257295
19,1568.75,0.31774,0.22822,0.80906,0.99775,0.99705,0.99475,0.96158,0.2018,0.17184,0.76084,0.000219212,0.000219212,0.000219212
20,1647.12,0.30499,0.22026,0.80341,0.99755,0.99724,0.99471,0.96301,0.18924,0.16696,0.75986,0.000184896,0.000184896,0.000184896
21,1725.73,0.30494,0.21971,0.80746,0.99734,0.9966,0.99472,0.95977,0.2002,0.17043,0.76025,0.00015489,0.00015489,0.00015489
22,1804.57,0.30668,0.22353,0.81244,0.99742,0.99649,0.99472,0.96348,0.18807,0.16484,0.76079,0.000129666,0.000129666,0.000129666
23,1881.96,0.2994,0.21754,0.8037,0.99786,0.99613,0.99472,0.96372,0.18149,0.16108,0.76056,0.000109623,0.000109623,0.000109623
24,1960.17,0.29885,0.21425,0.80522,0.9986,0.99611,0.99472,0.96299,0.1856,0.16123,0.76033,9.50766e-05,9.50766e-05,9.50766e-05
25,2038.55,0.29476,0.21172,0.80225,0.99851,0.99595,0.99476,0.96045,0.19383,0.1625,0.76044,8.62558e-05,8.62558e-05,8.62558e-05
