epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3492,0.28144,0.18209,0.78411,0.99814,0.99685,0.995,0.94557,0.30062,0.17981,0.7743,0.00027608,0.00027608,0.00027608
2,54.9124,0.27507,0.18448,0.77907,0.99894,0.99591,0.99499,0.95348,0.27168,0.1752,0.77086,0.000523291,0.000523291,0.000523291
3,72.3067,0.27323,0.18513,0.77531,0.99864,0.99685,0.995,0.95478,0.27625,0.18135,0.77373,0.000739958,0.000739958,0.000739958
4,89.47,0.27372,0.18727,0.77837,0.9987,0.99606,0.99499,0.96877,0.22875,0.16582,0.76846,0.000695555,0.000695555,0.000695555
5,107.884,0.26262,0.17924,0.77954,0.99838,0.99716,0.995,0.95933,0.24402,0.16888,0.76995,0.00064974,0.00064974,0.00064974
6,125.217,0.26533,0.18156,0.77932,0.99883,0.99595,0.99499,0.95877,0.25241,0.167,0.76992,0.000603925,0.000603925,0.000603925
7,142.135,0.26493,0.17752,0.7788,0.9983,0.99702,0.995,0.95451,0.28188,0.17224,0.77358,0.00055811,0.00055811,0.00055811
8,159.133,0.27261,0.17873,0.7791,0.99849,0.9969,0.995,0.95137,0.2874,0.17728,0.77468,0.000512295,0.000512295,0.000512295
9,175.979,0.27131,0.17719,0.7802,0.99852,0.99685,0.995,0.94977,0.28355,0.17667,0.77607,0.00046648,0.00046648,0.00046648
10,193.543,0.25982,0.17216,0.77903,0.99865,0.99692,0.995,0.94539,0.29742,0.17465,0.77534,0.000420665,0.000420665,0.000420665
11,211.237,0.26887,0.17432,0.77756,0.99857,0.99685,0.995,0.95053,0.28928,0.17355,0.77246,0.00037485,0.00037485,0.00037485
12,228.094,0.24674,0.16773,0.7749,0.99873,0.99712,0.995,0.96079,0.25332,0.16179,0.77009,0.000329035,0.000329035,0.000329035
