epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.946,0.34405,0.26039,0.81575,0.99845,0.99535,0.99433,0.95461,0.23516,0.19124,0.7626,0.000277299,0.000277299,0.000277299
2,230.472,0.34889,0.27227,0.81574,0.99846,0.99605,0.99479,0.95261,0.23678,0.21221,0.7649,0.000553904,0.000553904,0.000553904
3,328.328,0.35146,0.27777,0.81764,0.99847,0.99638,0.99469,0.94862,0.24712,0.21921,0.76603,0.000826276,0.000826276,0.000826276
4,428.09,0.34414,0.27364,0.81104,0.99812,0.99392,0.99436,0.95214,0.2426,0.20748,0.76386,0.000818741,0.000818741,0.000818741
5,528.638,0.33576,0.26369,0.81136,0.99747,0.99659,0.99451,0.94229,0.26168,0.21337,0.76523,0.00080777,0.00080777,0.00080777
6,628.044,0.32048,0.25825,0.8096,0.99849,0.99562,0.99475,0.96056,0.22041,0.19177,0.76641,0.000793816,0.000793816,0.000793816
7,729.063,0.32996,0.25818,0.81084,0.99606,0.9969,0.99323,0.95433,0.23475,0.19741,0.76488,0.000776992,0.000776992,0.000776992
8,830.107,0.3182,0.24858,0.80495,0.99894,0.99488,0.99406,0.96009,0.21984,0.19353,0.76322,0.000757433,0.000757433,0.000757433
9,929.991,0.31942,0.25375,0.80484,0.99791,0.99657,0.9942,0.95401,0.23677,0.19781,0.76382,0.000735297,0.000735297,0.000735297
10,1032.68,0.31257,0.24918,0.81213,0.99723,0.99734,0.99415,0.95322,0.23741,0.19189,0.76608,0.000710761,0.000710761,0.000710761
11,1134.32,0.3093,0.24468,0.80752,0.99739,0.99823,0.99474,0.95868,0.20392,0.18309,0.76313,0.000684024,0.000684024,0.000684024
12,1235.56,0.29649,0.23348,0.8047,0.99803,0.99682,0.99426,0.9581,0.21322,0.18375,0.76406,0.000655301,0.000655301,0.000655301
13,1337.47,0.2943,0.23555,0.80346,0.99791,0.99649,0.99428,0.96022,0.19461,0.17746,0.76091,0.000624823,0.000624823,0.000624823
14,1439.75,0.28915,0.2282,0.80319,0.99716,0.99723,0.99433,0.95959,0.20354,0.1809,0.76199,0.000592835,0.000592835,0.000592835
15,1542,0.29594,0.23311,0.81017,0.99767,0.99694,0.99461,0.96198,0.21474,0.18642,0.7659,0.000559595,0.000559595,0.000559595
16,1642.59,0.29048,0.2302,0.80546,0.99845,0.99557,0.99416,0.95752,0.21362,0.17816,0.76197,0.000525371,0.000525371,0.000525371
17,1743.13,0.29107,0.22797,0.80585,0.99813,0.99632,0.99431,0.96237,0.18603,0.16731,0.75936,0.000490438,0.000490438,0.000490438
18,1845.17,0.27172,0.21419,0.80045,0.99805,0.99578,0.99422,0.96102,0.1887,0.16202,0.76238,0.000455077,0.000455077,0.000455077
19,1942.64,0.25922,0.2091,0.79815,0.99793,0.99612,0.99356,0.96638,0.18318,0.16251,0.7623,0.000419573,0.000419573,0.000419573
20,2042.22,0.26013,0.20917,0.79748,0.99789,0.99707,0.99481,0.96484,0.18292,0.16145,0.76081,0.000384212,0.000384212,0.000384212
21,2141.82,0.26144,0.21545,0.79993,0.99832,0.99686,0.99449,0.96717,0.1757,0.15561,0.76125,0.000349279,0.000349279,0.000349279
22,2243.05,0.25582,0.20606,0.79685,0.99816,0.998,0.99486,0.96478,0.17618,0.15767,0.75996,0.000315055,0.000315055,0.000315055
23,2343.02,0.25485,0.20664,0.79885,0.99804,0.99823,0.99488,0.9627,0.17557,0.15951,0.75928,0.000281815,0.000281815,0.000281815
24,2441.77,0.24967,0.20129,0.79713,0.9983,0.99823,0.99482,0.97001,0.16637,0.15022,0.75876,0.000249827,0.000249827,0.000249827
25,2543.39,0.24608,0.19661,0.79447,0.99869,0.99815,0.99484,0.96866,0.16588,0.14826,0.75954,0.000219349,0.000219349,0.000219349
26,2645.57,0.23894,0.19525,0.79459,0.99843,0.99823,0.99474,0.96378,0.17107,0.14812,0.75863,0.000190626,0.000190626,0.000190626
27,2745.38,0.2344,0.19001,0.79361,0.99787,0.99823,0.99482,0.96585,0.16201,0.14378,0.75798,0.000163889,0.000163889,0.000163889
28,2843.93,0.25541,0.19211,0.79032,0.99767,0.99674,0.9947,0.9683,0.17017,0.14753,0.75838,0.000139353,0.000139353,0.000139353
29,2940.53,0.25004,0.18945,0.79091,0.99825,0.997,0.99364,0.96874,0.16352,0.14449,0.75867,0.000117217,0.000117217,0.000117217
30,3038.57,0.24975,0.18668,0.79056,0.99784,0.9965,0.99353,0.96736,0.16389,0.14218,0.75833,9.76583e-05,9.76583e-05,9.76583e-05
31,3135.27,0.24589,0.18623,0.79219,0.998,0.99754,0.99481,0.96786,0.16563,0.14118,0.75861,8.08341e-05,8.08341e-05,8.08341e-05
32,3235,0.23808,0.18047,0.79253,0.99819,0.99739,0.9948,0.9697,0.15631,0.13819,0.75786,6.68803e-05,6.68803e-05,6.68803e-05
33,3333.08,0.23928,0.18005,0.78883,0.99818,0.99742,0.9948,0.96875,0.1569,0.13677,0.75796,5.5909e-05,5.5909e-05,5.5909e-05
34,3432.73,0.23359,0.17603,0.78738,0.99837,0.99751,0.99481,0.96969,0.15501,0.13615,0.75762,4.80087e-05,4.80087e-05,4.80087e-05
35,3530.41,0.23269,0.17716,0.79056,0.99831,0.99744,0.99479,0.97016,0.15518,0.1349,0.75783,4.32429e-05,4.32429e-05,4.32429e-05
